ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
nic63:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1408244000, 98722247872000000, 48, 32000, 97070000
nic64:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 257796, 370200598, 252, 221, 2350
nic64:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic64:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic64:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1430394000, 186323254044000000, 34, 16000, 141906000
nic65:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 177410, 233485244, 252, 226, 2318
nic65:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic65:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic65:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1424884000, 183193485360000000, 47, 32000, 141514000
nic66:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 230324, 546769760, 252, 158, 9742
nic66:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic66:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic66:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1411196000, 175128996656000000, 68, 32000, 140210000
nic67:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2009553, 21368156433, 252, 237, 16080
nic67:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic67:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic67:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1379820000, 155582799504000000, 105, 32000, 131826000
nic68:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2323676, 27633297376, 252, 240, 18794
nic68:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic68:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic68:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1366584000, 150282982392000000, 99, 32000, 131762000
nic69:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 400266, 1451284636, 252, 224, 8238
nic69:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic69:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic69:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1396918000, 102131609356000000, 80, 32000, 98682000
nic70:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 1158550, 6406545884, 252, 238, 7854
nic70:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
